tconst	nconst	category	job	characters
tt0000306	nm5670483	producer	producer	\N
tt0000307	nm0085865	actor	\N	["Happy Hooligan"]
tt0000307	nm1112850	writer	comic strip "Happy Hooligan"	\N
tt0000308	nm2940350	actress	\N	["Little girl"]
tt0000308	nm2940072	actor	\N	["Little brother"]
tt0000308	nm0808310	director	\N	\N
tt0000309	nm0164281	actress	\N	["Passenger"]
tt0000309	nm0378408	actor	\N	["Driver"]
tt0000310	nm0335788	actor	\N	["Chimmie Hicks"]
tt0000310	nm0151209	actress	\N	\N
tt0000310	nm0035502	cinematographer	\N	\N
tt0000312	nm0349785	director	\N	\N
tt0000313	nm0809419	actress	\N	["Young woman"]
tt0000313	nm0338379	actor	\N	["Man"]
tt0000313	nm0808310	director	\N	\N
tt0000314	nm0349785	director	\N	\N
tt0000315	nm0349785	director	\N	\N
tt0000316	nm0349785	director	\N	\N
tt0000317	nm0349785	director	\N	\N
tt0000318	nm13155558	actor	\N	\N
tt0000318	nm0804433	actor	\N	["Koechin"]
tt0000318	nm0804434	director	\N	\N
tt0000319	nm1272063	actor	\N	\N
tt0000319	nm1272675	actor	\N	\N
tt0000319	nm0793094	director	\N	\N
tt0000320	nm0349785	director	\N	\N
tt0000321	nm0692105	director	\N	\N
tt0000322	nm0005717	director	\N	\N
tt0000323	nm0349785	director	\N	\N
tt0000324	nm0349785	director	\N	\N
tt0000325	nm0112631	actress	\N	\N
tt0000325	nm0349785	director	\N	\N
tt0000326	nm0112631	actress	\N	\N
tt0000326	nm0349785	director	\N	\N
tt0000327	nm0349785	director	\N	\N
tt0000328	nm0349785	director	\N	\N
tt0000329	nm0349785	director	\N	\N
tt0000330	nm0349785	director	\N	\N
tt0000331	nm0349785	director	\N	\N
tt0000332	nm0349785	director	\N	\N
tt0000333	nm0349785	director	\N	\N
tt0000334	nm0349785	director	\N	\N
tt0000335	nm1010955	actress	\N	\N
tt0000335	nm1012612	actor	\N	\N
tt0000335	nm1011210	actor	\N	\N
tt0000335	nm1012621	actor	\N	\N
tt0000335	nm0095714	director	\N	\N
tt0000335	nm0675140	director	\N	\N
tt0000335	nm0675239	actor	\N	["Lion"]
